emp_no,first_name,last_name,salary,title
10918,Susumu,Reghbati,59521,Staff
10921,Mara,Bahi,72601,Engineer
10924,Hironoby,Atchley,84783,Senior Staff
10927,Gal,Scallan,51819,Staff
10936,Mountaz,Schicker,40000,Staff
10943,Berna,Skafidas,45890,Senior Engineer
10965,Eckart,Braunschweig,61654,Senior Staff
10969,Premal,Noriega,40000,Senior Engineer
10974,Muneo,Papsdorf,56005,Senior Engineer
10986,Masako,Schiper,43900,Technique Leader
10988,Chinya,Deyuan,54174,Senior Engineer
10989,Sumali,Candan,46406,Staff
10990,Shin,Foote,40000,Technique Leader
11009,Alper,Axelband,75111,Staff
11012,Taegyun,Speckmann,72092,Staff
11019,Leon,Huttel,69387,Engineer
11021,Srinidhi,Henders,62670,Staff
11027,Remzi,Cappello,40000,Assistant Engineer
11028,Miyeon,Krider,41111,Engineer
11031,Ottavia,Walstra,71654,Senior Staff
11037,Lansing,Maliniak,40000,Senior Engineer
11038,Jinya,Beidas,44993,Senior Staff
11042,Gou,Breugel,40000,Engineer
11048,Jaques,Demke,65697,Senior Staff
11050,Elvis,Katiyar,52251,Staff
11051,Przemyslawa,Erol,40000,Senior Engineer
11070,Adib,Raney,40000,Engineer
11081,Barry,Boyle,65686,Senior Staff
11085,Hailing,Thummel,66437,Senior Engineer
11100,Berna,Cochrane,40000,Senior Staff
11106,Aris,Iwayama,71446,Engineer
11110,Valeska,Birjandi,43063,Staff
11112,Boaz,Mukaidono,40000,Staff
11113,Shahab,Peng,66401,Staff
11121,Vugranam,Kakkad,40000,Senior Engineer
11133,Nalini,Azulay,40000,Technique Leader
11134,Sachar,Rajcani,58731,Engineer
11137,Hugh,Luca,40000,Engineer
11139,Bogdan,Homond,63596,Senior Staff
11146,Ishfaq,Masand,96019,Senior Staff
11148,Zhanqiu,Botman,56344,Staff
11162,Kauko,Narlikar,69873,Engineer
11180,Mitsuyuki,Bojadziev,40000,Senior Engineer
11197,Tadahiro,Fordan,88741,Senior Staff
11203,Sakthirel,Yetto,68049,Senior Staff
11204,Diederik,Covnot,40000,Technique Leader
11207,Saeed,Gips,49728,Engineer
11208,Saniya,Valtorta,83660,Technique Leader
11211,Yurij,Rissland,72668,Senior Engineer
11217,Kellie,Mawatari,40000,Senior Engineer
11232,Hidefumi,Crelier,43863,Staff
11240,Kiam,Condotta,61739,Engineer
11249,Randi,Cyre,43324,Assistant Engineer
11251,Bezalel,Chinal,69432,Senior Staff
11268,Aimee,Petersohn,40000,Senior Engineer
11275,Hitomi,Eppinger,58382,Engineer
11290,Visit,Dredge,65034,Engineer
11291,Gino,Glowinski,54307,Senior Engineer
11295,Abdelkader,Lanzelotte,66622,Senior Staff
11319,Pranas,Marrakchi,40000,Assistant Engineer
11320,Atilio,McAlpine,45118,Senior Staff
11322,Nathalie,Pocchiola,43021,Assistant Engineer
11324,Kauko,Billingsley,54288,Senior Engineer
11338,Kwangsub,Hanratty,82210,Senior Staff
11339,Flemming,Massonet,40000,Senior Engineer
11347,Anneli,Jonsson,41524,Engineer
11365,Toshimi,Shinomoto,56463,Engineer
11376,Valery,Suomi,46964,Senior Staff
11380,Kenroku,Pelc,53345,Assistant Engineer
11385,Shiv,Ullian,40000,Engineer
11386,Alselm,Assaf,47726,Senior Engineer
11393,Junsik,Junot,40000,Engineer
11398,Oscar,Peir,44625,Staff
11404,Bedrich,Borovoy,42907,Technique Leader
11415,Sanjiv,Anido,40000,Engineer
11421,Josyula,Msuda,52416,Senior Engineer
11431,Youngkon,Picht,44804,Staff
11441,Marlo,Aingworth,67352,Senior Staff
11449,Kotesh,Asser,61434,Senior Engineer
11459,Duke,Suomi,40000,Senior Staff
11461,Kish,Cronau,49398,Senior Engineer
11469,Guttorm,Giaccio,44625,Senior Engineer
11477,Fox,Narahari,40000,Engineer
11501,Karsten,Ranum,48608,Staff
11506,Rance,Picel,89747,Staff
11509,Aleksander,Feldhoffer,40000,Engineer
11513,Otmar,Mahnke,82525,Staff
11515,Ulf,Basawa,70182,Staff
11518,Jinxi,Oxman,40000,Senior Staff
11524,Xiadong,Standera,41081,Senior Engineer
11527,Alagu,Boyle,60212,Staff
11528,Zito,Dolinsky,44026,Technique Leader
11537,DAIDA,Pehl,96023,Senior Staff
11554,Subhash,Taubenfeld,46065,Staff
11555,Kotesh,Perfilyeva,40000,Staff
11562,Rimli,Alencar,82255,Engineer
11567,Teiji,Mitzlaff,86261,Staff
11568,Martins,Fujisaki,54673,Senior Engineer
11578,Edwin,Rosti,40000,Senior Engineer
11588,Kaijung,Panangaden,40000,Senior Staff
11603,Herb,Swen,69180,Senior Staff
11607,Tomokazu,Foong,49584,Engineer
11615,Shem,Isaak,46591,Senior Staff
11624,Adil,Gammage,42001,Senior Engineer
11628,Fan,Malinowski,43966,Senior Engineer
11640,Valeri,Coorg,52520,Senior Engineer
11647,Magy,Nitsche,40000,Engineer
11660,Gill,Stenning,65758,Senior Staff
11673,Henk,Felder,40000,Technique Leader
11676,Valeri,Ferriere,43310,Engineer
11681,Fumitake,Benzmuller,40000,Senior Engineer
11684,Oksana,Gide,68753,Senior Staff
11696,Dante,Rothe,51633,Staff
11705,Arve,Hofmeyr,79701,Staff
11732,Sanjoy,Ranft,40000,Senior Engineer
11735,Amalendu,Picci,40000,Senior Staff
11738,Tadahiro,Lichtman,58432,Engineer
11746,Koichi,Marrakchi,55951,Staff
11747,Aksel,Kossowski,90239,Senior Staff
11751,Jiafu,Emiris,40000,Senior Staff
11764,Sanjay,Anick,64875,Engineer
11769,Chandrasekaran,Lampe,40000,Senior Staff
11772,Gaurav,Penz,61295,Engineer
11797,Chenxi,Thambidurai,88050,Staff
11805,Rosine,Grandbois,40000,Assistant Engineer
11810,Amabile,Bhattacharjee,41256,Senior Engineer
11813,Gita,Muhlberg,94687,Staff
11817,Niranjan,Markovitch,50638,Staff
11832,Arto,Zlotek,40000,Engineer
11838,Taiji,Nitta,68674,Staff
11844,Shawna,Demeyer,78049,Engineer
11853,Zeljko,Kusakabe,61941,Senior Staff
11857,Divier,Farrag,94805,Senior Staff
11864,Pradeep,Kriebel,52517,Staff
11871,Nalini,Sommen,67424,Senior Engineer
11872,Cheong,Riexinger,43159,Senior Staff
11883,Nectarios,Bhattacharjee,58135,Engineer
11894,Mitchel,Validov,56198,Senior Engineer
11897,Cordelia,Setlzner,80049,Senior Staff
11906,Hideo,Boguraev,81324,Engineer
11915,Miomir,Mawatari,58042,Senior Engineer
11931,Gunilla,Chiodo,73369,Staff
11933,Basil,Erman,56130,Engineer
11949,Martijn,Harbusch,40000,Technique Leader
11983,Jaana,Hedayat,40000,Senior Engineer
11987,Vidya,Schaar,40000,Senior Staff
11988,Chinya,Chinin,57652,Engineer
11993,Marit,Dalphin,56505,Senior Staff
12011,Zhilian,Coorg,85833,Senior Staff
12025,Jaewoo,Heiserman,62126,Staff
12033,Visit,Serot,49992,Engineer
12036,Mads,Ratzlaff,67143,Staff
12037,Arunas,Katzenelson,47805,Senior Staff
12050,Yuchang,Tchuente,46704,Assistant Engineer
12052,Masako,Khasidashvili,40000,Technique Leader
12062,Margareta,Worfolk,44199,Senior Staff
12069,Ayonca,Burnard,51928,Engineer
12070,Ger,Shokrollahi,50233,Technique Leader
12076,Karlis,Siprelle,75381,Senior Staff
12082,Xinan,Yamaashi,72118,Staff
12087,Weijing,Jumpertz,45432,Engineer
12089,Bilhanan,Socorro,46288,Staff
12099,Nobuyoshi,Kuzuoka,104610,Staff
12103,Becky,Erie,56188,Staff
12112,Satyanarayana,Avouris,76538,Staff
12122,Satoru,Krone,46398,Senior Engineer
12123,Xiahua,Syrzycki,64879,Senior Staff
12125,Shounak,Erman,41215,Engineer
12128,Yannik,Barreiro,81527,Staff
12149,Suebskul,Grandbois,109934,Senior Staff
12159,Shem,Perly,61210,Senior Engineer
12165,Xiaobin,Maquelin,41951,Senior Engineer
12173,Adel,Nanard,58321,Senior Engineer
12183,Harngdar,Iisaku,40000,Engineer
12192,Feiyu,Klyachko,41625,Engineer
12205,Sushant,Rossi,40000,Senior Engineer
12206,Barton,Janetzko,40000,Engineer
12218,Yaghout,Strooper,40000,Engineer
12221,Vincent,Melter,56736,Senior Engineer
12222,Abdelwaheb,Holburn,55840,Staff
12223,Niteen,Koyama,54459,Engineer
12247,Subbu,Penttonen,59183,Technique Leader
12249,Eldridge,Sadowski,70099,Senior Engineer
12254,Chaitali,Stafford,44848,Engineer
12256,Guadalupe,Reghbati,40000,Staff
12264,Mart,Pagter,51816,Engineer
12270,Shakhar,Kornyak,52840,Senior Staff
12272,Behnaam,Grandbois,43811,Senior Staff
12274,Garnik,Papadias,40000,Engineer
12276,Yongmin,Lenart,59844,Senior Engineer
12303,Godehard,Braccini,40000,Senior Staff
12308,Mototsugu,Cronau,58741,Senior Staff
12311,Susanne,Lubachevsky,40000,Senior Engineer
12312,Chenye,Velasco,52344,Assistant Engineer
12327,DAIDA,Bruckman,67449,Engineer
12335,Arnould,Genin,40000,Senior Staff
12341,Rasiah,Luga,40000,Engineer
12343,Sorina,Slaats,52134,Senior Staff
12365,Kamakshi,Bisiani,40000,Engineer
12373,Mooi,Driscoll,75986,Senior Staff
12395,Sanjit,Felder,66909,Senior Staff
12399,Mihalis,Luga,85582,Senior Staff
12411,Shao,Ibel,97610,Senior Staff
12413,Hugh,Gadepally,53179,Senior Engineer
12415,Uri,Sluis,53615,Staff
12417,Dannz,Spelt,67342,Senior Engineer
12422,Berhard,Demos,71376,Staff
12451,Pramod,Marzano,40000,Senior Engineer
12454,Kerryn,Farris,41347,Staff
12464,Shai,Milicic,50448,Staff
12475,Filipe,Roison,40000,Senior Engineer
12478,Yahiko,Hopewell,50404,Senior Staff
12487,Mona,Reghbati,40000,Senior Staff
12489,Arnould,Munck,63306,Senior Engineer
12490,Jackson,Muchinsky,40000,Engineer
12493,Filipp,Menhardt,40000,Senior Engineer
12497,Stein,Penz,81191,Senior Staff
12501,Morrie,Matheson,76082,Senior Staff
12504,Adly,Rosaz,40000,Engineer
12514,Tomofumi,Melter,54241,Engineer
12528,Conor,Cincotta,40000,Staff
12534,Yongmao,Gerlach,66715,Senior Engineer
12541,Shih,Nanard,93105,Staff
12542,Kazuhide,Bouloucos,44176,Staff
12551,Jeane,Tzvieli,40000,Senior Engineer
12553,Aral,Vesna,40000,Senior Staff
12557,Stafford,Kopetz,41840,Senior Engineer
12589,Anoosh,Chleq,59441,Senior Engineer
12596,Breannda,Roisin,40000,Senior Staff
12601,Ghassan,Simkin,41714,Assistant Engineer
12608,Nectarios,Mondadori,40000,Staff
12635,Xinyu,Restivo,40000,Senior Engineer
12637,Poorav,Karner,44370,Staff
12638,Yuqun,Seiwald,56677,Engineer
12642,Suebskul,Gips,68271,Senior Staff
12651,Pragnesh,Bael,75150,Senior Staff
12662,Leucio,Alvarado,69016,Assistant Engineer
12663,Nobuyoshi,Stellhorn,49966,Technique Leader
12664,Zhonghua,Parveen,40000,Staff
12678,Carrsten,Borovoy,44529,Engineer
12689,Luerbio,Boudaillier,59689,Engineer
12691,Oddvar,Gils,48493,Senior Engineer
12694,Kazuhira,Luders,53019,Engineer
12697,Uri,Brizzi,40000,Senior Staff
12709,Ronghao,Botman,45510,Senior Engineer
12717,Tzu,Jiafu,53194,Staff
12722,Elliott,Cheshire,62325,Senior Staff
12726,Fumitake,Panwar,61177,Senior Engineer
12729,Nahla,Rahier,51796,Senior Engineer
12730,Barry,Perl,40000,Technique Leader
12731,Yongmao,Waymire,40000,Senior Staff
12732,Mara,Takanami,74436,Senior Staff
12734,Gil,Frijda,40000,Senior Engineer
12755,Rildo,Rodite,40196,Senior Staff
12759,LiMin,Kuszyk,49963,Senior Staff
12773,Jenwei,Lovengreen,65556,Senior Engineer
12775,Mariangiola,Berendt,69805,Engineer
12790,Gunilla,Perl,87760,Senior Staff
12795,Masoud,Fordan,56969,Senior Staff
12798,Lillian,Beeson,81145,Staff
12803,Gad,Boissier,91789,Senior Staff
12815,Sushant,Junot,65073,Senior Staff
12816,Freyja,Ramras,66194,Senior Engineer
12819,Mountaz,Gubsky,48455,Engineer
12846,Krisda,Cyne,63962,Senior Staff
12848,Kazuhide,Smeets,40000,Engineer
12853,Mang,Brobst,47160,Senior Staff
12863,Leif,Matheson,62803,Senior Engineer
12872,Marl,Schmittgen,56040,Senior Staff
12876,Apostol,Goodrum,42277,Engineer
12879,Baruch,Eugenio,40000,Senior Engineer
12888,Martien,Erni,41673,Staff
12890,Neven,Casley,66803,Senior Staff
12893,Licheng,Crouzet,50803,Staff
12895,Roddy,Serot,40000,Senior Engineer
12905,Munehiro,Gecsei,58659,Senior Engineer
12922,Jacqueline,Porenta,69441,Senior Staff
12926,Heekeun,Luby,68314,Staff
12937,Arup,Cincotta,59206,Staff
12940,Odinaldo,Farrar,49760,Senior Engineer
12941,Tommaso,Perelgut,67069,Engineer
12949,Geoff,Asrin,40000,Engineer
12951,Mohammad,Keirsey,60566,Senior Staff
12972,Juyoung,Azevdeo,40000,Staff
12974,Gift,Frolund,93034,Senior Staff
12977,Byong,Markovitch,61326,Senior Engineer
12983,Elliott,Hambrick,57252,Staff
13012,Florina,Harbusch,40000,Senior Engineer
13030,Yahiko,Kroll,51770,Senior Staff
13046,Vivian,Stafford,40000,Senior Staff
13047,Atilio,Chelton,52323,Engineer
13049,Fan,Naudin,60266,Staff
13062,Xinglin,Baak,55665,Technique Leader
13075,Rosella,Morrin,40000,Staff
13076,Deniz,Skafidas,50582,Engineer
13096,Ibibia,Armand,52544,Senior Engineer
13103,Srinidhi,Ellozy,40000,Senior Engineer
13113,Kwun,Landherr,66941,Staff
13124,Quingbo,Garnick,73785,Senior Staff
13133,Guther,Senzako,67777,Staff
13134,Lorien,Chepyzhov,51227,Engineer
13144,Persi,Nollmann,52825,Staff
13146,Haldon,Erie,61398,Senior Staff
13147,Shichao,Ginesta,77429,Senior Staff
13156,Akeel,Millington,48285,Engineer
13165,Lucian,Benner,42796,Senior Engineer
13168,Munir,Stentiford,49210,Engineer
13170,Cheong,Bernardeschi,49012,Senior Staff
13171,Anoosh,Birnbaum,40000,Engineer
13173,Arve,Horswill,46354,Senior Staff
13179,Moty,Janocha,90233,Staff
13182,Kokou,Rodite,46832,Engineer
13186,Kyoichi,Barbanera,93138,Senior Staff
13192,Rosita,Flowers,43986,Technique Leader
13202,Aram,Scharstein,51915,Senior Staff
13210,Jianhua,Klassen,83961,Senior Staff
13213,Hein,Billawala,61131,Staff
13221,Premsyl,Famili,47724,Staff
13232,Mitchel,Fujisaki,40000,Technique Leader
13233,Alselm,Chvatal,49414,Senior Engineer
13238,Ebru,Foote,40000,Senior Staff
13240,King,Pileggi,49018,Engineer
13243,Fay,Huxford,67269,Staff
13250,Zeydy,Schusler,47829,Engineer
13272,Arun,Jiang,40000,Senior Staff
13276,Yechiam,Seuren,65836,Senior Staff
13288,Muneo,Broomell,40000,Staff
13291,Georg,Stamatiou,54720,Senior Engineer
13299,Guiseppe,Butner,40000,Staff
13302,Mack,Alencar,40000,Senior Engineer
13305,Bikash,Herath,104969,Senior Staff
13315,Sakthirel,Stroustrup,40000,Senior Engineer
13332,Nidapan,Pearson,40000,Engineer
13333,Yoshinari,Hennebert,50997,Assistant Engineer
13341,Bodh,Doering,40000,Staff
13343,Heon,Usery,40000,Staff
13368,Kiyokazu,Klassen,52872,Staff
13371,Nakhoon,Riexinger,40000,Senior Engineer
13373,Juichirou,Naumovich,82749,Senior Staff
13385,Claudi,Buchter,40000,Senior Staff
13386,Khosrow,Sgarro,91420,Technique Leader
13389,Divine,Cmelik,40000,Senior Staff
13392,Fumitake,Beidas,69221,Staff
13396,Chuanyi,Aumann,40000,Senior Staff
13402,Augustine,Dulli,40000,Engineer
13405,Randy,Baba,60799,Senior Staff
13407,Gio,Chenoweth,60348,Senior Engineer
13408,Sreekrishna,Lagarias,52479,Senior Engineer
13415,Nathalie,Speer,61838,Technique Leader
13422,Vishwani,Gerlach,59466,Engineer
13442,Giordano,Miake,40000,Staff
13443,Mayuko,Puppo,40000,Engineer
13445,Renee,Dehkordi,53194,Engineer
13451,Gretta,Weiland,40000,Staff
13457,Shooichi,Parfitt,40812,Senior Engineer
13458,Feipei,Nivat,41375,Senior Engineer
13463,Theron,Berstel,40000,Engineer
13465,Sasan,Rehfuss,49821,Engineer
13493,Uinam,Jullig,40000,Engineer
13504,Parto,Mandell,41895,Engineer
13521,Jaewoo,Tasistro,40000,Engineer
13524,Chaoyi,Porotnikoff,52849,Staff
13535,Arunas,Schlenzig,40000,Engineer
13546,Aimee,Brookner,50295,Engineer
13549,Matk,Koprowski,40000,Technique Leader
13552,Ingmar,Capobianchi,73346,Staff
13560,Sibyl,Jeong,40000,Engineer
13576,Jungsoon,Engberts,73022,Senior Staff
13578,Tadahiko,Christianini,62885,Technique Leader
13605,Dmitry,Encarnacion,70404,Senior Staff
13621,Fei,Haddadi,73192,Engineer
13624,Zhigen,Yurek,40000,Senior Staff
13629,Dzung,Trelles,40000,Senior Engineer
13648,Zejun,Lamba,47723,Technique Leader
13651,Stamatina,Plesums,62278,Engineer
13653,Kristen,Iivonen,53242,Staff
13670,Moti,Takanami,40000,Senior Engineer
13680,Denny,Speer,46968,Staff
13684,Elvia,Christ,79100,Senior Staff
13685,Weicheng,Hockney,48322,Engineer
13697,Shuichi,Weedon,40000,Technique Leader
13698,Domenico,Mitchem,57541,Engineer
13704,Vishu,Kumaresan,40000,Senior Engineer
13721,Sugwoo,Delgrossi,64754,Senior Staff
13727,Vitali,Merey,50798,Staff
13738,Bangqing,Mitchem,48349,Engineer
13747,Masaru,Capobianchi,47752,Senior Staff
13766,Tremaine,Heemskerk,43748,Senior Staff
13768,Sedat,Lovengreen,40000,Staff
13769,Yakichi,Trogemann,61025,Senior Staff
13775,Arve,Maierhofer,70161,Staff
13786,Takushi,Berendt,74494,Staff
13787,Xiaobin,Sinicrope,40000,Senior Engineer
13788,Takahira,Furedi,40000,Assistant Engineer
13792,Valery,Sury,59127,Staff
13795,Mayuri,Gewali,49749,Technique Leader
13796,Paloma,Thorelli,50962,Engineer
13801,Shih,Mayerwieser,64182,Staff
13809,Kiyotoshi,Basagni,43735,Staff
13815,Guadalupe,Plotkin,40000,Engineer
13825,Arlette,Pell,54704,Technique Leader
13841,Christophe,Spinelli,52277,Technique Leader
13842,Juichirou,Cichocki,40000,Staff
13846,Guiseppe,Welham,61097,Senior Staff
13853,Mingsen,Roohalamini,61615,Senior Staff
13859,Anoosh,Fujisawa,40000,Senior Engineer
13883,Kwangyoen,Barreiro,40000,Senior Engineer
13884,Kensei,Swift,44785,Engineer
13894,Ult,Schonegge,48958,Assistant Engineer
13904,Youngkon,Cairo,73885,Senior Engineer
13914,Serge,Albarhamtoshy,41526,Senior Staff
13916,Vidya,Wynblatt,90797,Staff
13930,Sukumar,Chartres,78867,Senior Staff
13934,Shiv,Bratsberg,46507,Senior Engineer
13942,Elzbieta,Esteva,40000,Technique Leader
13951,Mooi,Genther,82054,Staff
13960,Nechama,Hettesheimer,43204,Senior Staff
13962,Maris,Ghelli,67965,Senior Engineer
13966,Boguslaw,Cooman,40000,Senior Staff
13969,Jianwen,Chandrasekhar,60392,Technique Leader
13979,Turgut,Highland,50381,Senior Engineer
13986,Geraldo,Ramsey,46099,Staff
13990,Deborah,Schapiro,52723,Engineer
13992,Ulises,Kenevan,81318,Senior Staff
13999,Florian,Crouzet,40000,Senior Staff
14005,Vojin,Stellhorn,40000,Technique Leader
14015,Manibrata,Picaronny,63084,Senior Engineer
14034,Aloys,Seghrouchni,69700,Senior Staff
14041,Shan,DeMori,63235,Senior Staff
14045,Ymte,Alpin,40000,Staff
14067,Godehard,Trachtenberg,44669,Engineer
14088,Mori,Leslie,44821,Senior Staff
14102,Feixiong,Jording,48200,Engineer
14107,Xiahua,Rindone,82396,Staff
14111,Leszek,Cummings,52696,Senior Staff
14113,Along,Herber,46841,Engineer
14118,Kasturi,Anido,46248,Senior Staff
14139,Sachin,Conry,40000,Engineer
14167,Adas,Hertweck,40000,Senior Engineer
14191,Jiann,Luby,40155,Senior Engineer
14197,Adin,Chachaty,52474,Senior Staff
14209,Masanao,Kusakabe,40000,Senior Staff
14220,Tomofumi,Pargas,68017,Senior Engineer
14224,Guther,Conta,40000,Staff
14232,Masali,Bojadziev,50568,Senior Engineer
14236,Xuedong,Angiulli,40000,Senior Staff
14237,Abdulla,Gerlach,57219,Engineer
14242,Sudhanshu,Benaini,40000,Senior Staff
14254,Chikara,Narahara,50266,Engineer
14257,Kwok,Massonet,40000,Staff
14275,Tristan,Aseltine,94782,Senior Staff
14287,Masali,Highland,45483,Senior Staff
14289,Paraskevi,Gist,60863,Assistant Engineer
14290,Miyeon,Olivero,78736,Senior Engineer
14292,Susanna,Vigier,41846,Senior Staff
14293,Qunsheng,Middleton,40000,Senior Staff
14298,Chriss,Granlund,40000,Senior Engineer
14310,Marlo,Leuchs,40000,Senior Staff
14320,Sreenivas,Schaar,40000,Engineer
14322,Shem,Kakkad,50363,Engineer
14323,Golgen,Leslie,40000,Staff
14340,Vitaly,Wixon,42858,Senior Engineer
14344,Otilia,Buescher,41979,Technique Leader
14345,Barry,Ramsey,61910,Engineer
14354,Mong,Bojadziev,40000,Senior Staff
14360,Janche,Erbe,43476,Senior Staff
14372,Saniya,Srimani,57667,Engineer
14380,Shigeu,Heemskerk,47819,Senior Staff
14384,Tomofumi,Holburn,58260,Technique Leader
14422,Toshimo,Gadepally,59001,Engineer
14434,Elvis,Maginnis,40000,Technique Leader
14439,Raimond,Woycyznski,80654,Engineer
14441,Divine,Manders,40000,Engineer
14460,Yagil,Lueh,56267,Engineer
14478,Munehiro,Boissier,40000,Senior Staff
14481,Moti,Lammel,40000,Engineer
14483,Supot,Marrevee,40000,Senior Engineer
14486,Indrajit,Birdsall,40000,Senior Engineer
14498,Xiong,Selenyi,40000,Staff
14501,Taizo,Kroft,63646,Technique Leader
14509,Danil,Aloia,40000,Staff
14513,Samphel,Barreiro,83273,Senior Staff
14514,Fay,Denny,40000,Senior Engineer
14515,Kazuhisa,Versino,61645,Engineer
14516,Kristian,Underwood,73262,Senior Staff
14518,Patricia,Peir,64238,Engineer
14522,Chuanyi,Ranta,40000,Senior Staff
14533,Kensei,Borovoy,48376,Senior Engineer
14537,Babette,Engelmann,48332,Senior Engineer
14539,Ashish,Danlos,42975,Engineer
